date,walcl_musd,wtregen_musd,rrp_musd,ecb_assets_musd,boj_assets_musd,pboc_assets_musd,reserves_musd,repo_musd,discount_window_musd,fed_net_liq_musd,global_cb_musd
2018-01-01,4448680.00,190283.00,319595.00,5375713.04,4673916.05,5578156.82,2201425.00,23.00,108.00,3938802.00,20076465.91
2018-01-02,4448680.00,190283.00,136967.00,5375713.04,4673916.05,5578156.82,2201425.00,23.00,108.00,4121430.00,20076465.91
2018-01-03,4443718.00,211566.00,131622.00,5375713.04,4673916.05,5578156.82,2045930.00,23.00,38.00,4100530.00,20071503.91
2018-01-04,4443718.00,211566.00,76624.00,5375713.04,4673916.05,5578156.82,2045930.00,23.00,38.00,4155528.00,20071503.91
2018-01-05,4443718.00,211566.00,63804.00,5376618.60,4673916.05,5578156.82,2045930.00,23.00,38.00,4168348.00,20072409.48
2018-01-06,4443718.00,211566.00,63804.00,5376618.60,4673916.05,5578156.82,2045930.00,23.00,38.00,4168348.00,20072409.48
2018-01-07,4443718.00,211566.00,63804.00,5376618.60,4673916.05,5578156.82,2045930.00,23.00,38.00,4168348.00,20072409.48
2018-01-08,4443718.00,211566.00,63531.00,5376618.60,4673916.05,5578156.82,2045930.00,23.00,38.00,4168621.00,20072409.48
2018-01-09,4443718.00,211566.00,56468.00,5376618.60,4673916.05,5578156.82,2045930.00,23.00,38.00,4175684.00,20072409.48
2018-01-10,4446062.00,206215.00,57954.00,5376618.60,4673916.05,5578156.82,2232897.00,23.00,107.00,4181893.00,20074753.48
2018-01-11,4446062.00,206215.00,33597.00,5376618.60,4673916.05,5578156.82,2232897.00,23.00,107.00,4206250.00,20074753.48
2018-01-12,4446062.00,206215.00,21590.00,5425432.41,4673916.05,5578156.82,2232897.00,23.00,107.00,4218257.00,20123567.28
2018-01-13,4446062.00,206215.00,21590.00,5425432.41,4673916.05,5578156.82,2232897.00,23.00,107.00,4218257.00,20123567.28
2018-01-14,4446062.00,206215.00,21590.00,5425432.41,4673916.05,5578156.82,2232897.00,23.00,107.00,4218257.00,20123567.28
2018-01-15,4446062.00,206215.00,21590.00,5425432.41,4673916.05,5578156.82,2232897.00,23.00,107.00,4218257.00,20123567.28
2018-01-16,4446062.00,206215.00,22003.00,5425432.41,4673916.05,5578156.82,2232897.00,23.00,107.00,4217844.00,20123567.28
2018-01-17,4439145.00,227665.00,20548.00,5425432.41,4673916.05,5578156.82,2249899.00,23.00,96.00,4190932.00,20116650.28
2018-01-18,4439145.00,227665.00,22804.00,5425432.41,4673916.05,5578156.82,2249899.00,23.00,96.00,4188676.00,20116650.28
2018-01-19,4439145.00,227665.00,22196.00,5487522.87,4673916.05,5578156.82,2249899.00,23.00,96.00,4189284.00,20178740.74
